     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   8.00, 5.10, 5.10,  0.75,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.63,  0.12
 10.00,   8.31, 5.30, 5.30,  0.97,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.37,  0.42,  0.17
 10.00,   8.60, 5.50, 5.50,  1.15,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.77,  0.23,  0.15
 10.00,   8.85, 5.70, 5.70,  1.17,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.73,  0.39,  0.05
 10.00,   9.13, 5.90, 5.90,  1.13,     0,     0,     0,     0,     0,     0,     0,     0,  0.08,  0.60,  0.40,  0.06
 10.00,   8.32, 6.10, 6.10,  2.38,     0,     0,     0,     0,     0,     0,     0,     0,  0.95,  1.12,  0.20,  0.11
 10.00,   8.77, 6.30, 6.30,  2.46,     0,     0,     0,     0,     0,     0,     0,  0.29,  0.82,  0.93,  0.37,  0.05
 10.00,   9.86, 6.50, 6.48,  1.86,     0,     0,     0,     0,     0,     0,  0.03,  0.27,  0.84,  0.20,  0.26,  0.26
 10.00,  14.29, 6.70, 6.71,  1.66,     0,     0,     0,     0,     0,     0,  0.05,  0.12,  0.23,  0.09,  0.19,  0.99
 10.00,  15.33, 6.90, 6.90,  2.31,     0,     0,     0,     0,     0,     0,  0.03,  0.11,  0.15,  0.16,  0.33,  1.52
 10.00,  14.28, 7.10, 7.11,  2.67,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.00,  1.20,  0.47
 10.00,  11.69, 7.30, 7.33, 10.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,  7.64,  2.29,  0.18
 10.00,  11.67, 7.50, 7.50, 16.58,     0,     0,     0,     0,     0,     0,     0,     0,     0, 13.76,  2.58,  0.24
 10.00,  13.09, 7.70, 7.71, 14.59,     0,     0,     0,     0,     0,     0,     0,     0,  3.23,  9.76,  1.56,  0.03
 10.00,  11.65, 7.90, 7.91, 22.09,     0,     0,     0,     0,     0,     0,     0,     0,  8.66, 12.94,  0.50,     0
 10.00,  10.62, 8.10, 8.08, 16.70,     0,     0,     0,     0,     0,     0,     0,     0, 13.02,  3.67,  0.02,     0
 10.00,  10.56, 8.30, 8.26,  1.28,     0,     0,     0,     0,     0,     0,     0,     0,  1.09,  0.20,     0,     0
 30.00,  21.21, 6.30, 6.34,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  22.53, 6.50, 6.48,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.64, 6.70, 6.72,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.90, 6.90, 6.91,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.02
 30.00,  22.21, 7.10, 7.10,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02
 30.00,  22.90, 7.30, 7.32,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.03
 30.00,  24.40, 7.50, 7.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
