     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 50.00,  50.04, 6.30, 6.35,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  52.21, 6.50, 6.53,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.04
 50.00,  53.33, 6.70, 6.72,  0.29,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.27,  0.02
 50.00,  53.53, 6.90, 6.91,  0.84,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.70,  0.14,     0
 50.00,  53.91, 7.10, 7.11,  1.83,     0,     0,     0,     0,     0,     0,     0,     0,  1.04,  0.79,     0,     0
 70.00,  63.11, 6.70, 6.73,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03
 70.00,  65.07, 6.90, 6.92,  0.26,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.21,  0.05
 70.00,  66.70, 7.10, 7.11,  0.80,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.45,  0.33,  0.01
 90.00,  81.21, 6.90, 6.95,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  84.39, 7.10, 7.12,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,  0.04
