     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   9.06, 5.30, 5.35,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 10.00,   9.33, 5.50, 5.51,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04
 10.00,   9.41, 5.70, 5.70,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.01
 10.00,   9.43, 5.90, 5.90,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04,  0.02
 10.00,   7.71, 6.10, 6.10,  0.19,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.10,  0.08,  0.01
 10.00,   5.08, 6.30, 6.32,  1.62,     0,     0,     0,     0,     0,     0,     0,  1.04,  0.22,  0.06,  0.28,     T
 10.00,   4.52, 6.50, 6.51, 20.02,     0,     0,     0,     0,     0,     0,  1.19, 16.48,  0.12,  0.23,  1.98,  0.02
 10.00,   4.72, 6.70, 6.69, 14.08,     0,     0,     0,     0,     0,     0,  4.60,  8.01,  0.11,  0.52,  0.80,  0.05
 10.00,   5.06, 6.90, 6.90,  6.18,     0,     0,     0,     0,     0,     0,  2.99,  2.77,  0.09,  0.08,  0.21,  0.03
 10.00,   5.38, 7.10, 7.09,  2.69,     0,     0,     0,     0,     0,     0,  0.76,  1.80,     0,  0.08,  0.02,  0.04
 10.00,   6.82, 7.30, 7.29,  0.71,     0,     0,     0,     0,     0,     0,  0.04,  0.23,     0,  0.42,     T,  0.02
 10.00,   8.05, 7.50, 7.48,  0.24,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.20,     T,  0.03
 10.00,   9.87, 7.70, 7.66,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T,     T
 10.00,  19.60, 8.10, 8.09,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.36, 6.70, 6.75,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.09, 6.90, 6.94,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.20, 7.10, 7.08,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
