     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   8.04, 5.10, 5.10,  0.67,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.61,  0.07
 10.00,   8.41, 5.30, 5.30,  0.78,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.37,  0.27,  0.14
 10.00,   8.70, 5.50, 5.50,  0.82,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.64,  0.09,  0.10
 10.00,   8.97, 5.70, 5.70,  0.81,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.59,  0.21,     T
 10.00,   9.30, 5.90, 5.90,  0.76,     0,     0,     0,     0,     0,     0,     0,     0,  0.08,  0.45,  0.22,     T
 10.00,   8.66, 6.10, 6.10,  1.40,     0,     0,     0,     0,     0,     0,     0,     0,  0.74,  0.54,  0.05,  0.07
 10.00,   9.16, 6.30, 6.30,  1.34,     0,     0,     0,     0,     0,     0,     0,  0.08,  0.69,  0.38,  0.15,  0.02
 10.00,  10.49, 6.50, 6.48,  0.93,     0,     0,     0,     0,     0,     0,     0,  0.15,  0.50,  0.01,  0.13,  0.14
 10.00,  14.50, 6.70, 6.70,  0.69,     0,     0,     0,     0,     0,     0,     0,  0.12,  0.07,     T,  0.08,  0.42
 10.00,  15.36, 6.90, 6.90,  0.93,     0,     0,     0,     0,     0,     0,     0,  0.09,  0.05,  0.10,  0.07,  0.62
 10.00,  14.13, 7.10, 7.11,  1.07,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.58,  0.17,  0.32
 10.00,  11.57, 7.30, 7.33,  4.55,     0,     0,     0,     0,     0,     0,     0,     0,     0,  3.91,  0.60,  0.03
 10.00,  11.58, 7.50, 7.51,  7.81,     0,     0,     0,     0,     0,     0,     0,     0,     0,  6.59,  1.21,     0
 10.00,  12.99, 7.70, 7.71,  6.86,     0,     0,     0,     0,     0,     0,     0,     0,  3.23,  3.25,  0.39,     0
 10.00,  11.60, 7.90, 7.91, 10.79,     0,     0,     0,     0,     0,     0,     0,     0,  8.66,  2.14,     0,     0
 10.00,  10.62, 8.10, 8.08,  8.33,     0,     0,     0,     0,     0,     0,     0,     0,  8.24,  0.09,     0,     0
 10.00,  10.56, 8.30, 8.26,  0.64,     0,     0,     0,     0,     0,     0,     0,     0,  0.64,     0,     0,     0
 30.00,  21.35, 6.30, 6.33,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  22.86, 6.50, 6.46,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.20, 6.70, 6.72,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.22, 6.90, 6.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  20.77, 7.10, 7.10,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.43, 7.30, 7.32,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
 30.00,  22.60, 7.50, 7.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  23.48, 7.70, 7.72,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
