     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 50.00,  59.74, 6.50, 6.50,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0
 50.00,  59.19, 6.70, 6.70,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0
 50.00,  58.57, 6.90, 6.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0
 50.00,  57.73, 7.10, 7.10,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T,     0
 70.00,  64.24, 5.70, 5.73,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  65.86, 5.90, 5.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  69.12, 6.10, 6.12,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  73.75, 6.30, 6.31,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 70.00,  74.18, 6.50, 6.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 70.00,  73.82, 6.70, 6.71,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 70.00,  74.20, 6.90, 6.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 70.00,  74.69, 7.10, 7.11,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 90.00,  82.46, 6.30, 6.35,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  83.45, 6.50, 6.53,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  85.52, 6.70, 6.71,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  88.71, 6.90, 6.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  91.14, 7.10, 7.11,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
110.00, 100.41, 6.90, 6.95,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
110.00, 103.54, 7.10, 7.13,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
