     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   7.56, 5.10, 5.11,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.01
 10.00,   7.87, 5.30, 5.30,  0.07,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04,  0.02
 10.00,   8.13, 5.50, 5.50,  0.09,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.06,  0.01
 10.00,   8.48, 5.70, 5.70,  0.10,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04,  0.05,  0.02
 10.00,   8.74, 5.90, 5.90,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.05,  0.05,  0.02
 10.00,   6.15, 6.10, 6.12,  0.77,     0,     0,     0,     0,     0,     0,  0.03,  0.19,  0.24,  0.24,  0.06,  0.02
 10.00,   5.49, 6.30, 6.31,  4.86,     0,     0,     0,     0,     0,     0,  0.42,  2.12,  1.90,  0.37,  0.05,  0.01
 10.00,   4.26, 6.50, 6.53, 17.09,     0,     0,     0,     0,     0,     0,  5.24,  6.17,  4.94,  0.54,  0.18,  0.03
 10.00,   2.97, 6.70, 6.74, 20.20,     0,     0,     0,     0,     0,     0, 10.68,  6.82,  2.21,  0.31,  0.15,  0.03
 10.00,   2.15, 6.90, 6.96, 37.85,     0,     0,     0,     0,     0,     0, 26.47, 10.18,  0.69,  0.31,  0.19,  0.01
 10.00,   2.90, 7.10, 7.19, 13.42,     0,     0,     0,     0,     0,     T,  8.96,  2.99,  0.06,  0.79,  0.60,  0.01
 10.00,  11.15, 7.30, 7.32,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.02,     0
 10.00,   3.23, 7.50, 7.40,  4.35,     0,     0,     0,     0,     0,  0.01,  2.75,  0.90,  0.10,  0.33,  0.26,     T
 10.00,   2.13, 7.70, 7.60,  1.01,     0,     0,     0,     0,     0,     T,  0.74,  0.23,  0.02,  0.01,     T,     T
 30.00,  20.11, 6.30, 6.25,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.75, 6.50, 6.53,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.08, 6.70, 6.73,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.10, 6.90, 6.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.91, 7.10, 7.11,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  25.11, 7.30, 7.35,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.55, 7.50, 7.40,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  22.03, 7.70, 7.60,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
