     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   6.45, 5.10, 5.10,  1.71,     0,     0,     0,     0,     0,     0,     0,     0,  0.84,  0.34,  0.41,  0.12
 10.00,   7.09, 5.30, 5.30,  2.11,     0,     0,     0,     0,     0,     0,     0,     0,  0.94,  0.77,  0.27,  0.12
 10.00,   7.70, 5.50, 5.50,  2.48,     0,     0,     0,     0,     0,     0,     0,  0.47,  0.86,  0.67,  0.38,  0.10
 10.00,   8.09, 5.70, 5.70,  2.58,     0,     0,     0,     0,     0,     0,     0,  0.75,  0.86,  0.51,  0.40,  0.05
 10.00,   8.43, 5.90, 5.90,  2.63,     0,     0,     0,     0,     0,     0,     0,  1.04,  0.63,  0.59,  0.31,  0.05
 10.00,   8.64, 6.10, 6.10,  3.40,     0,     0,     0,     0,     0,     0,  0.16,  1.36,  0.92,  0.72,  0.22,  0.02
 10.00,   8.96, 6.30, 6.30,  3.72,     0,     0,     0,     0,     0,  0.16,  0.68,  1.14,  0.94,  0.60,  0.18,  0.01
 10.00,   7.68, 6.50, 6.53,  7.89,     0,     0,     0,     0,  0.17,  0.32,  2.09,  2.47,  1.92,  0.77,  0.14,     T
 10.00,   7.17, 6.70, 6.70, 11.54,     0,     0,     0,     0,  0.26,  0.60,  3.84,  3.42,  2.61,  0.72,  0.10,     0
 10.00,   5.54, 6.90, 6.90, 12.69,     0,     0,     0,     0,  0.26,  0.92,  6.45,  3.01,  1.70,  0.32,  0.04,     0
 10.00,   3.75, 7.10, 7.11, 10.32,     0,     0,     0,     0,  0.20,  0.77,  7.56,  1.12,  0.55,  0.11,     T,     0
 10.00,   3.53, 7.30, 7.29,  4.05,     0,     0,     0,     0,  0.18,  0.78,  2.69,  0.17,  0.18,  0.04,     T,     0
 10.00,   2.54, 7.50, 7.46,  0.67,     0,     0,     0,     0,     0,  0.28,  0.38,     0,     0,     0,     0,     0
 10.00,   2.54, 7.70, 7.64,  0.02,     0,     0,     0,     0,     0,     T,  0.01,     0,     0,     0,     0,     0
 30.00,  21.18, 5.50, 5.55,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.24, 5.70, 5.73,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
 30.00,  22.12, 5.90, 5.91,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.03
 30.00,  22.04, 6.10, 6.11,  0.10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.05,  0.05
 30.00,  22.66, 6.30, 6.30,  0.17,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.10,  0.06
 30.00,  23.61, 6.50, 6.51,  0.27,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.06,  0.13,  0.08
 30.00,  25.08, 6.70, 6.71,  0.29,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.06,  0.15,  0.08
 30.00,  24.97, 6.90, 6.90,  0.29,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.07,  0.16,  0.06
 30.00,  24.63, 7.10, 7.10,  0.25,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.17,  0.05
 30.00,  23.75, 7.30, 7.30,  0.33,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.08,  0.22,  0.03
 30.00,  22.69, 7.50, 7.49,  0.20,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09,  0.11,     T
 30.00,  22.97, 7.70, 7.66,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.03,  0.02,     T
 30.00,  23.01, 7.90, 7.83,     T,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T,     T,     0
 50.00,  50.47, 5.10, 5.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
