     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   7.86, 6.10, 6.11,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.02
 10.00,   5.78, 6.30, 6.32,  0.41,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.26,  0.11,  0.04
 10.00,   4.87, 6.50, 6.52,  5.77,     0,     0,     0,     0,     0,     0,     0,     0,  0.98,  3.75,  0.70,  0.33
 10.00,   5.06, 6.70, 6.70,  5.96,     0,     0,     0,     0,     0,     0,     0,  1.47,  3.52,  0.10,  0.79,  0.08
 10.00,   5.30, 6.90, 6.90,  3.28,     0,     0,     0,     0,     0,     0,     0,  2.52,  0.45,  0.05,  0.19,  0.06
 10.00,   5.62, 7.10, 7.09,  1.56,     0,     0,     0,     0,     0,     0,     0,  1.43,  0.03,     0,  0.04,  0.06
 10.00,   7.52, 7.30, 7.29,  0.36,     0,     0,     0,     0,     0,     0,     0,  0.16,     0,     0,  0.17,  0.03
 10.00,   9.40, 7.50, 7.48,  0.12,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.11,  0.01
 10.00,  11.38, 7.70, 7.67,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T,     T
 10.00,  19.60, 7.90, 7.88,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 10.00,  19.60, 8.10, 8.04,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.54, 6.70, 6.75,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.98, 6.90, 6.93,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.20, 7.10, 7.08,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.58, 7.70, 7.75,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
