     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   7.43, 5.70, 5.72,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 10.00,   7.64, 5.90, 5.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 10.00,   5.80, 6.10, 6.12,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09,  0.01,     T
 10.00,   5.48, 6.30, 6.31,  0.81,     0,     0,     0,     0,     0,     0,     0,     0,  0.57,  0.23,  0.01,     T
 10.00,   4.20, 6.50, 6.53,  3.22,     0,     0,     0,     0,     0,     0,     0,     0,  2.94,  0.22,  0.04,  0.01
 10.00,   3.01, 6.70, 6.73,  4.33,     0,     0,     0,     0,     0,     0,     0,  3.42,  0.76,  0.09,  0.05,  0.01
 10.00,   2.16, 6.90, 6.96,  7.82,     0,     0,     0,     0,     0,     0,     0,  7.52,  0.19,  0.03,  0.08,     T
 10.00,   2.76, 7.10, 7.19,  2.60,     0,     0,     0,     0,     0,     0,     0,  2.35,  0.01,     T,  0.22,     T
 10.00,  11.15, 7.30, 7.31,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0
 10.00,   3.02, 7.50, 7.40,  0.82,     0,     0,     0,     0,     0,     0,     0,  0.70,  0.02,  0.01,  0.09,     T
 10.00,   2.12, 7.70, 7.60,  0.19,     0,     0,     0,     0,     0,     0,     0,  0.18,     T,     T,     T,     T
 30.00,  21.59, 6.70, 6.74,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.32, 6.90, 6.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.26, 7.10, 7.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.59, 7.50, 7.40,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  20.99, 7.70, 7.60,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
