     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   7.72, 5.10, 5.11,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.06,  0.05
 10.00,   8.35, 5.30, 5.31,  0.25,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.17,  0.08
 10.00,   8.81, 5.50, 5.50,  0.42,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.19,  0.18,  0.04
 10.00,   9.16, 5.70, 5.70,  0.46,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.23,  0.20,  0.03
 10.00,   9.59, 5.90, 5.90,  0.47,     0,     0,     0,     0,     0,     0,     0,     0,  0.07,  0.19,  0.17,  0.05
 10.00,   8.92, 6.10, 6.10,  0.94,     0,     0,     0,     0,     0,     0,     0,     0,  0.35,  0.43,  0.13,  0.04
 10.00,   9.81, 6.30, 6.30,  1.12,     0,     0,     0,     0,     0,     0,     0,  0.21,  0.38,  0.33,  0.12,  0.08
 10.00,  12.76, 6.50, 6.49,  1.25,     0,     0,     0,     0,     0,     0,     0,  0.18,  0.30,  0.24,  0.08,  0.45
 10.00,  15.50, 6.70, 6.70,  1.05,     0,     0,     0,     0,     0,     0,     0,  0.10,  0.09,  0.11,  0.03,  0.72
 10.00,  15.53, 6.90, 6.90,  1.08,     0,     0,     0,     0,     0,     0,     0,  0.07,  0.07,  0.20,  0.02,  0.72
 10.00,  13.95, 7.10, 7.11,  1.07,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.61,  0.05,  0.42
 10.00,  11.56, 7.30, 7.33,  3.46,     0,     0,     0,     0,     0,     0,     0,     0,     0,  2.98,  0.34,  0.14
 10.00,  11.51, 7.50, 7.50,  4.91,     0,     0,     0,     0,     0,     0,     0,     0,     0,  4.19,  0.71,     T
 10.00,  12.85, 7.70, 7.71,  3.59,     0,     0,     0,     0,     0,     0,     0,     0,     0,  2.05,  1.54,     T
 10.00,  11.48, 7.90, 7.91,  5.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,  4.14,  0.89,     0
 10.00,  10.61, 8.10, 8.08,  3.58,     0,     0,     0,     0,     0,     0,     0,     0,     0,  3.54,  0.03,     0
 10.00,  10.56, 8.30, 8.26,  0.25,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.25,     0,     0
 30.00,  20.54, 5.90, 5.95,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.72, 6.10, 6.14,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  22.22, 6.30, 6.32,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
 30.00,  23.23, 6.50, 6.49,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.01
 30.00,  22.93, 6.70, 6.71,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  22.28, 6.90, 6.90,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  21.23, 7.10, 7.09,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.48, 7.30, 7.31,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  22.31, 7.50, 7.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  22.69, 7.70, 7.71,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
