     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 90.00,  90.81, 7.90, 8.00,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  90.89, 8.10, 8.16,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  90.86, 8.30, 8.30,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  90.70, 8.50, 8.45,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,     T
 90.00,  90.66, 8.70, 8.65,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,     0
 90.00,  90.48, 8.90, 8.96,  0.20,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.20,     0
 90.00,  90.48, 9.10, 9.20,  0.07,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.07,     0
110.00, 103.12, 8.10, 8.18,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
110.00, 113.60, 8.30, 8.30,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
110.00, 114.78, 8.50, 8.46,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
110.00, 114.92, 8.70, 8.66,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.02
110.00, 115.12, 8.90, 8.97,  0.22,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.18,  0.04
110.00, 115.12, 9.10, 9.20,  0.09,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09,     0
130.00, 124.39, 8.50, 8.48,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
130.00, 132.37, 8.70, 8.67,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
130.00, 136.02, 8.90, 8.97,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04
130.00, 136.02, 9.10, 9.20,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,     0
150.00, 142.91, 8.70, 8.69,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
190.00, 184.22, 9.10, 9.20,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
