     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 90.00,  91.16, 7.90, 8.00,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04,     0,     0
 90.00,  91.05, 8.10, 8.16,  0.10,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.10,     0,     0
 90.00,  90.96, 8.30, 8.30,  0.14,     0,     0,     0,     0,     0,     0,     0,     0,  0.14,     0,     0,     0
 90.00,  90.74, 8.50, 8.45,  0.35,     0,     0,     0,     0,     0,     0,     0,     0,  0.35,     0,     0,     0
 90.00,  90.68, 8.70, 8.65,  0.32,     0,     0,     0,     0,     0,     0,     0,     0,  0.32,     0,     0,     0
 90.00,  90.48, 8.90, 8.95,  1.32,     0,     0,     0,     0,     0,     0,     0,     0,  1.32,     0,     0,     0
 90.00,  90.48, 9.10, 9.20,  0.33,     0,     0,     0,     0,     0,     0,     0,     0,  0.33,     0,     0,     0
110.00, 114.90, 7.90, 8.00,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.06,     0,     0
110.00, 114.96, 8.10, 8.16,  0.20,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.20,     0,     0
110.00, 115.00, 8.30, 8.30,  0.29,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.29,     0,     0
110.00, 115.08, 8.50, 8.45,  0.72,     0,     0,     0,     0,     0,     0,     0,     0,  0.72,     0,     0,     0
110.00, 115.08, 8.70, 8.65,  0.68,     0,     0,     0,     0,     0,     0,     0,     0,  0.68,     0,     0,     0
110.00, 115.12, 8.90, 8.95,  2.79,     0,     0,     0,     0,     0,     0,     0,     0,  2.79,     0,     0,     0
110.00, 115.12, 9.10, 9.20,  0.70,     0,     0,     0,     0,     0,     0,     0,     0,  0.70,     0,     0,     0
130.00, 132.46, 7.90, 8.00,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.03,     0
130.00, 132.90, 8.10, 8.16,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.11,     0,     0
130.00, 133.28, 8.30, 8.30,  0.15,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.15,     0,     0
130.00, 134.16, 8.50, 8.45,  0.32,     0,     0,     0,     0,     0,     0,     0,     0,  0.18,  0.15,     0,     0
130.00, 134.17, 8.70, 8.65,  0.31,     0,     0,     0,     0,     0,     0,     0,     0,  0.31,     0,     0,     0
130.00, 136.02, 8.90, 8.95,  0.95,     0,     0,     0,     0,     0,     0,     0,     0,  0.95,     0,     0,     0
130.00, 136.02, 9.10, 9.20,  0.24,     0,     0,     0,     0,     0,     0,     0,     0,  0.24,     0,     0,     0
150.00, 148.97, 7.90, 8.00,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,     0
150.00, 149.10, 8.10, 8.16,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.01,     0
150.00, 148.26, 8.30, 8.30,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.04,     0,     0
150.00, 148.81, 8.50, 8.45,  0.08,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.07,     0,     0
