     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   8.29, 5.90, 5.95,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 10.00,   7.01, 6.10, 6.11,  0.08,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.07,     T
 10.00,   7.78, 6.30, 6.31,  0.16,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09,  0.05,  0.02
 10.00,   8.18, 6.50, 6.48,  0.16,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09,  0.05,  0.01
 10.00,  15.53, 6.70, 6.72,  0.39,     0,     0,     0,     0,     0,     0,     0,     0,  0.05,  0.02,  0.04,  0.28
 10.00,  16.44, 6.90, 6.90,  0.72,     0,     0,     0,     0,     0,     0,     0,     0,  0.04,  0.02,  0.10,  0.55
 10.00,  15.04, 7.10, 7.11,  0.78,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.36,  0.42
 10.00,  12.07, 7.30, 7.33,  2.47,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.58,  0.86,  0.02
 10.00,  11.93, 7.50, 7.50,  3.97,     0,     0,     0,     0,     0,     0,     0,     0,     0,  3.13,  0.84,     0
 10.00,  13.34, 7.70, 7.71,  3.70,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.77,  1.93,     0
 10.00,  11.78, 7.90, 7.91,  5.36,     0,     0,     0,     0,     0,     0,     0,     0,     0,  4.51,  0.85,     0
 10.00,  10.63, 8.10, 8.08,  3.99,     0,     0,     0,     0,     0,     0,     0,     0,     0,  3.99,     0,     0
 10.00,  10.56, 8.30, 8.26,  0.31,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.31,     0,     0
 30.00,  21.74, 6.70, 6.74,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.85, 6.90, 6.91,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  22.19, 7.10, 7.10,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
 30.00,  23.16, 7.30, 7.31,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02
 30.00,  24.90, 7.50, 7.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  25.96, 7.70, 7.71,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 50.00,  41.14, 7.70, 7.74,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
