     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   4.89, 5.10, 5.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 10.00,   4.94, 5.30, 5.32,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.01
 10.00,   4.99, 5.50, 5.51,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.05,     0
 10.00,   5.19, 5.70, 5.71,  0.09,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.08,     0,     T
 10.00,   5.56, 5.90, 5.91,  0.15,     0,     0,     0,     0,     0,     0,     0,     0,  0.07,  0.07,  0.02,     T
 10.00,   6.47, 6.10, 6.11,  0.30,     0,     0,     0,     0,     0,     0,     0,     0,  0.20,  0.06,  0.03,  0.02
 10.00,   7.31, 6.30, 6.31,  0.48,     0,     0,     0,     0,     0,     0,     0,  0.24,  0.09,  0.07,  0.07,  0.01
 10.00,   6.79, 6.50, 6.52,  1.19,     0,     0,     0,     0,     0,     0,  0.08,  0.38,  0.37,  0.26,  0.09,     T
 10.00,   6.66, 6.70, 6.70,  2.24,     0,     0,     0,     0,     0,     0,  0.43,  0.64,  0.71,  0.42,  0.05,     0
 10.00,   5.22, 6.90, 6.90,  2.98,     0,     0,     0,     0,     0,     0,  1.08,  1.08,  0.59,  0.20,  0.01,     0
 10.00,   3.62, 7.10, 7.11,  2.82,     0,     0,     0,     0,     0,     0,  2.21,  0.37,  0.19,  0.05,     T,     0
 10.00,   3.40, 7.30, 7.29,  1.15,     0,     0,     0,     0,     0,     0,  1.02,  0.05,  0.06,  0.01,     0,     0
 10.00,   2.54, 7.50, 7.46,  0.20,     0,     0,     0,     0,     0,     0,  0.20,     0,     0,     0,     0,     0
 10.00,   2.54, 7.70, 7.64,     T,     0,     0,     0,     0,     0,     0,     T,     0,     0,     0,     0,     0
 30.00,  21.50, 6.30, 6.33,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  23.10, 6.50, 6.52,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.02
 30.00,  26.28, 6.70, 6.72,  0.10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.05,  0.04
 30.00,  26.64, 6.90, 6.90,  0.12,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,  0.08,  0.03
 30.00,  26.32, 7.10, 7.10,  0.15,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.11,  0.02
 30.00,  24.74, 7.30, 7.30,  0.18,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.06,  0.12,     T
 30.00,  23.41, 7.50, 7.49,  0.10,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.08,  0.02,     0
 30.00,  23.58, 7.70, 7.66,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,     T,     0
 30.00,  23.59, 7.90, 7.83,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0,     0
 50.00,  41.48, 6.70, 6.76,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  43.01, 6.90, 6.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  43.99, 7.10, 7.10,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  46.28, 7.30, 7.25,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  60.14, 7.30, 7.25,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  81.93, 7.70, 7.79,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  81.93, 7.90, 7.88,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
