     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 10.00,   9.01, 5.90, 5.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 10.00,   7.42, 6.10, 6.11,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.02
 10.00,   4.88, 6.30, 6.33,  0.94,     0,     0,     0,     0,     0,     0,     0,     0,  0.74,  0.06,  0.09,  0.06
 10.00,   4.54, 6.50, 6.51, 14.97,     0,     0,     0,     0,     0,     0,     0, 11.08,  2.04,  0.12,  1.70,  0.03
 10.00,   4.82, 6.70, 6.70, 12.25,     0,     0,     0,     0,     0,     0,  2.04,  8.60,  0.12,  0.45,  0.96,  0.07
 10.00,   5.22, 6.90, 6.91,  6.10,     0,     0,     0,     0,     0,     0,  2.82,  2.67,  0.11,  0.24,  0.24,  0.02
 10.00,   5.94, 7.10, 7.10,  3.10,     0,     0,     0,     0,     0,     0,  1.89,  0.85,  0.11,  0.05,  0.14,  0.07
 10.00,   8.36, 7.30, 7.30,  1.34,     0,     0,     0,     0,     0,     0,  0.32,     0,  0.75,  0.03,  0.17,  0.07
 10.00,   9.33, 7.50, 7.48,  0.69,     0,     0,     0,     0,     0,     0,     0,     0,  0.43,  0.19,  0.06,     T
 10.00,  12.51, 7.70, 7.68,  0.09,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.06,  0.02,     0
 10.00,  19.60, 7.90, 7.88,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.01,     0
 10.00,  19.60, 8.10, 8.04,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0,     0
 30.00,  21.19, 6.50, 6.60,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.12, 6.70, 6.73,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 30.00,  21.21, 6.90, 6.91,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.03
 30.00,  26.02, 7.10, 7.12,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.01
 30.00,  27.61, 7.30, 7.31,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
 30.00,  26.59, 7.50, 7.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 30.00,  25.74, 7.70, 7.72,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.04
 30.00,  27.08, 7.90, 7.88,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,     0
 50.00,  55.53, 8.10, 8.12,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01
 50.00,  55.53, 8.30, 8.25,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
