     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 50.00,  59.68, 6.50, 6.51,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  59.16, 6.70, 6.71,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  58.57, 6.90, 6.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0
 50.00,  57.71, 7.10, 7.10,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     0
 70.00,  60.64, 6.30, 6.35,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  64.06, 6.50, 6.53,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  71.56, 6.70, 6.73,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  73.86, 6.90, 6.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 70.00,  74.58, 7.10, 7.11,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 90.00,  83.39, 6.90, 6.92,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 90.00,  89.27, 7.10, 7.12,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
110.00, 101.36, 7.10, 7.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
