     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 90.00,  91.09, 7.90, 8.00,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,     0
 90.00,  90.99, 8.10, 8.16,  0.10,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.09,     T,     0
 90.00,  90.92, 8.30, 8.30,  0.15,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.15,     0,     0
 90.00,  90.71, 8.50, 8.45,  0.43,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.43,     0,     0
 90.00,  90.66, 8.70, 8.65,  0.55,     0,     0,     0,     0,     0,     0,     0,     0,  0.55,     T,     0,     0
 90.00,  90.48, 8.90, 8.96,  3.63,     0,     0,     0,     0,     0,     0,     0,     0,  3.63,     0,     0,     0
 90.00,  90.48, 9.10, 9.20,  1.21,     0,     0,     0,     0,     0,     0,     0,  1.21,     0,     0,     0,     0
110.00, 114.68, 7.90, 8.00,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,     T
110.00, 114.80, 8.10, 8.16,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.11,     0
110.00, 114.88, 8.30, 8.30,  0.18,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.17,     0
110.00, 115.00, 8.50, 8.45,  0.52,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.51,     T,     0
110.00, 115.02, 8.70, 8.65,  0.74,     0,     0,     0,     0,     0,     0,     0,     0,     T,  0.74,     0,     0
110.00, 115.12, 8.90, 8.96,  5.49,     0,     0,     0,     0,     0,     0,     0,     0,  4.45,  1.05,     0,     0
110.00, 115.12, 9.10, 9.20,  1.97,     0,     0,     0,     0,     0,     0,     0,     0,  1.97,     0,     0,     0
130.00, 131.39, 7.90, 8.00,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
130.00, 132.18, 8.10, 8.16,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,  0.01
130.00, 132.69, 8.30, 8.30,  0.06,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.06,     0
130.00, 133.75, 8.50, 8.46,  0.16,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.01,  0.14,     0
130.00, 133.83, 8.70, 8.66,  0.24,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.24,     T,     0
130.00, 136.02, 8.90, 8.96,  1.43,     0,     0,     0,     0,     0,     0,     0,     0,     0,  1.43,     0,     0
130.00, 136.02, 9.10, 9.20,  0.55,     0,     0,     0,     0,     0,     0,     0,     0,  0.55,     0,     0,     0
150.00, 146.53, 7.90, 8.00,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
150.00, 147.99, 8.10, 8.16,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
150.00, 147.41, 8.30, 8.30,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
150.00, 148.09, 8.50, 8.46,  0.03,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,     0
150.00, 148.25, 8.70, 8.66,  0.05,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,  0.03,     0
170.00, 161.05, 7.90, 8.00,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
170.00, 167.43, 8.10, 8.17,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
170.00, 168.19, 8.30, 8.30,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
170.00, 168.89, 8.50, 8.46,  0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
170.00, 169.13, 8.70, 8.66,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02,     0
190.00, 184.31, 8.10, 8.20,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
190.00, 185.74, 8.30, 8.30,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
190.00, 186.03, 8.50, 8.46,  0.02,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.02
190.00, 186.19, 8.70, 8.66,  0.04,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.03,     T
190.00, 184.22, 8.90, 8.97,  0.26,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.26,     0
190.00, 184.22, 9.10, 9.20,  0.11,     0,     0,     0,     0,     0,     0,     0,     0,     0,  0.11,     0,     0
210.00, 201.82, 8.30, 8.30,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
210.00, 207.23, 8.50, 8.47,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
210.00, 208.20, 8.70, 8.66,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
230.00, 225.65, 8.50, 8.50,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
230.00, 228.37, 8.70, 8.67,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
250.00, 247.41, 8.70, 8.68,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
270.00, 264.01, 8.70, 8.70,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
