name,                            lon,    lat
Adak AK,                     -176.70,  51.90
Anchorage AK,                -149.90,  61.20
Anchorage Atc AK,            -149.90,  61.20
Barrow AK,                   -156.80,  71.30
Bethel AK,                   -161.80,  60.80
Chitina AK,                  -144.50,  61.50
Delta Junction AK,           -145.70,  64.00
Dillingham AK,               -158.50,  59.10
Dutch Harbor AK,             -166.60,  53.90
Evansville AK,               -151.50,  66.90
Fairbanks AK,                -147.70,  64.90
Fairbanks Atc AK,            -147.70,  64.90
Gakona AK,                   -145.30,  62.30
Galena AK,                   -156.90,  64.80
Glennallen AK,               -145.60,  62.10
Haines AK,                   -135.50,  59.30
Homer AK,                    -151.50,  59.70
Juneau AK,                   -134.40,  58.30
Kenai AK,                    -151.30,  60.60
Ketchikan AK,                -131.70,  55.40
Knik Fairview AK,            -149.70,  61.50
Kodiak AK,                   -152.40,  57.80
Kotzebue AK,                 -162.60,  66.90
Lakes AK,                    -149.40,  61.60
McGrath AK,                  -155.60,  63.00
Nome AK,                     -165.40,  64.50
Paxson AK,                   -145.50,  63.10
Prudhoe Bay AK,              -148.40,  70.30
Sitka AK,                    -135.40,  57.10
Sleetmute AK,                -157.20,  61.70
Tok AK,                      -143.00,  63.30
Unalaska AK,                 -166.60,  53.90
Valdez AK,                   -146.40,  61.20
Wasilla AK,                  -149.50,  61.60
Yakutat AK,                  -139.70,  59.60
