name,                            lon,    lat
Concord CA,                  -122.00,  37.95
Monterey CA,                 -121.90,  36.60
Oakland CA,                  -122.25,  37.80
Sacramento CA,               -121.50,  38.60
San Francisco CA,            -122.40,  37.75
San Jose CA,                 -121.90,  37.35
San Mateo CA,                -122.30,  37.55
Santa Cruz CA,               -122.05,  36.95
Santa Rosa CA,               -122.70,  38.45
Vallejo CA,                  -122.25,  38.10
Century City CA,             -118.40,  34.05
Irvine CA,                   -117.80,  33.65
Long Beach CA,               -118.20,  33.80
Los Angeles CA,              -118.25,  34.05
Northridge CA,               -118.55,  34.20
Riverside CA,                -117.40,  33.95
San Bernardino CA,           -117.30,  34.10
San Diego CA,                -117.15,  32.70
San Luis Obispo CA,          -120.65,  35.30
Santa Barbara CA,            -119.70,  34.45
Ventura CA,                  -119.30,  34.30
Boise ID,                    -116.20,  43.60
Las Vegas NV,                -115.15,  36.20
Reno NV,                     -119.80,  39.55
Salt Lake City UT,           -111.90,  40.75
Portland OR,                 -122.65,  45.50
Everett WA,                  -122.20,  48.00
Seattle WA,                  -122.30,  47.60
Tacoma WA,                   -122.45,  47.25
Chicago IL,                   -87.65,  41.85
St Louis MO,                  -90.20,  38.60
New York NY,                  -74.00,  40.75
Charleston SC,                -79.95,  32.80
Memphis TN,                   -90.05,  35.15
