T,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,bln,b1,b2,del,m1,mh
5.0,-4.85,1.58,-0.0807,-2.53,0.222,-1.43,0.136,0.634,-0.141,-0.000161,-0.752,-0.3,0,0.15,6,8.5
4.0,-5.26,1.79,-0.0979,-2.44,0.207,-1.31,0.121,0.734,-0.156,-0.000196,-0.745,-0.31,0,0.15,5.75,8.37
3.0,-5.59,1.97,-0.114,-2.33,0.191,-1.2,0.11,0.845,-0.172,-0.000245,-0.74,-0.33,0,0.15,5.5,8.25
2.5,-5.8,2.13,-0.128,-2.26,0.179,-1.12,0.0954,0.891,-0.18,-0.00026,-0.735,-0.352,0,0.15,5.25,8.12
2.0,-5.85,2.23,-0.139,-2.2,0.169,-1.04,0.08,0.867,-0.179,-0.000286,-0.73,-0.375,0,0.15,5,8
1.25,-5.49,2.29,-0.148,-2.08,0.15,-0.9,0.0579,0.821,-0.172,-0.000407,-0.716,-0.34,0,0.15,4.67,7.45
1.0,-5.06,2.23,-0.145,-2.03,0.141,-0.874,0.0541,0.792,-0.17,-0.000489,-0.7,-0.44,0,0.15,4.5,7.2
0.5,-3.01,1.8,-0.118,-1.98,0.127,-0.847,0.047,0.667,-0.155,-0.000768,-0.6,-0.495,-0.06,0.15,4,6.5
0.4,-2.28,1.63,-0.105,-1.97,0.123,-0.888,0.0503,0.684,-0.158,-0.000859,-0.5,-0.508,-0.095,0.15,3.65,6.37
0.3,-1.56,1.46,-0.0931,-1.98,0.121,-0.947,0.0558,0.65,-0.156,-0.000955,-0.445,-0.513,-0.13,0.15,3.3,6.25
0.25,-0.876,1.29,-0.0819,-2.01,0.123,-1.03,0.0634,0.581,-0.149,-0.00105,-0.39,-0.518,-0.16,0.15,2.9,6.12
0.2,-0.306,1.16,-0.0721,-2.04,0.122,-1.15,0.0738,0.508,-0.143,-0.00114,-0.306,-0.521,-0.185,0.15,2.5,6
0.1,0.782,0.924,-0.0556,-2.17,0.119,-2.1,0.148,0.285,-0.132,-0.00099,-0.25,-0.595,-0.132,0.15,0.5,5.5
0.05,1.21,0.883,-0.0544,-2.44,0.13,-3.04,0.213,-0.21,-0.09,-0.000415,-0.286,-0.643,-0.105,0.15,0,5
0.04,1.26,0.879,-0.0552,-2.54,0.139,-2.99,0.216,-0.391,-0.0675,-0.000388,-0.314,-0.609,-0.105,0.15,0,5
0.03,1.19,0.888,-0.0564,-2.58,0.145,-2.84,0.212,-0.437,-0.0587,-0.000433,-0.322,-0.618,-0.108,0.15,0,5
0.025,1.05,0.903,-0.0577,-2.57,0.148,-2.65,0.207,-0.408,-0.0577,-0.000512,-0.33,-0.624,-0.115,0.15,0,5
PGA,0.523,0.969,-0.062,-2.44,0.147,-2.34,0.191,-0.087,-0.0829,-0.00063,-0.361,-0.641,-0.144,0.15,0.5,5.5
PGV,-1.66,1.05,-0.0604,-2.5,0.184,-2.3,0.25,0.127,-0.087,-0.000427,-0.6,-0.495,-0.06,0.11,2,5.5
