T,c1,c1h,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
PGA,0.4492,0.0305,0.633,-0.0427,-1.591,0.683,0.416,1.14,-0.873,-0.00428,0.000483,1.03,-0.086,0.414
0.2,0.1325,-0.4328,0.617,-0.0586,-1.32,0.399,0.493,1.25,-0.928,-0.0046,0.000337,1.077,-0.0838,0.478
1,-0.3177,-0.6104,0.451,-0.209,-1.158,0.299,0.503,1.067,-0.482,-0.00255,0.000141,1.11,-0.0793,0.543
0.1,0.4064,-0.1475,0.613,-0.0353,-1.369,0.484,0.467,1.096,-1.284,-0.00454,0.00046,1.059,-0.0838,0.46
0.3,-0.1483,-0.6906,0.609,-0.0786,-1.28,0.349,0.502,1.241,-0.753,-0.00414,0.000263,1.081,-0.0838,0.482
0.4,-0.17039,-0.67077,0.57226,-0.1094,-1.2441,0.32604,0.50407,1.1833,-0.65295,-0.0037463,0.00021879,1.0902,-0.083181,0.49512
0.5,-0.1333,-0.5907,0.534,-0.1379,-1.216,0.318,0.503,1.116,-0.606,-0.00341,0.000194,1.098,-0.0824,0.508
2,-1.2483,-1.4306,0.459,-0.2552,-1.124,0.31,0.499,1.015,-0.417,-0.00187,0.000103,1.093,-0.0758,0.551
0.03,1.68,1.186,0.622,-0.0362,-1.691,0.922,0.376,0.759,-0.922,-0.00367,0.000501,1.03,-0.086,0.414
#0.04,1.28,0.72857,0.61862,-0.035693,-1.566,0.75759,0.40246,0.76576,-1.1005,-0.0037319,0.00050044,1.037,-0.0848,0.43
0.05,0.87,0.3736,0.616,-0.0353,-1.469,0.63,0.423,0.771,-1.239,-0.00378,0.0005,1.042,-0.0838,0.443
