IMT,c1r,c1ss,c2,c3,c4,c5,c6r,c6ss,c7,sig0,cM,sigMax
PGA,-1.274,-1.274,1.1,0.000,-2.100,-0.48451,0.524,0.524,0.000,1.39,-0.14,0.38
0.075,-0.540,-0.540,1.1,0.006,-2.128,-0.48451,0.524,0.524,-0.082,1.40,-0.14,0.39
0.1,-0.375,-0.375,1.1,0.006,-2.148,-0.48451,0.524,0.524,-0.041,1.41,-0.14,0.40
0.2,-0.497,-0.497,1.1,-0.004,-2.080,-0.48451,0.524,0.524,0.000,1.43,-0.14,0.42
0.3,-0.707,-0.707,1.1,-0.017,-2.028,-0.48451,0.524,0.524,0.000,1.45,-0.14,0.44
0.4,-0.948,-0.948,1.1,-0.028,-1.990,-0.48451,0.524,0.524,0.000,1.48,-0.14,0.47
0.5,-1.238,-1.238,1.1,-0.040,-1.945,-0.48451,0.524,0.524,0.000,1.50,-0.14,0.49
0.75,-1.858,-1.858,1.1,-0.050,-1.865,-0.48451,0.524,0.524,0.000,1.52,-0.14,0.51
1.0,-2.355,-2.355,1.1,-0.055,-1.800,-0.48451,0.524,0.524,0.000,1.53,-0.14,0.52
1.5,-3.057,-3.057,1.1,-0.065,-1.725,-0.48451,0.524,0.524,0.000,1.53,-0.14,0.52
2.0,-3.595,-3.595,1.1,-0.070,-1.670,-0.48451,0.524,0.524,0.000,1.53,-0.14,0.52
3.0,-4.350,-4.350,1.1,-0.080,-1.610,-0.48451,0.524,0.524,0.000,1.53,-0.14,0.52
4.0,-4.880,-4.880,1.1,-0.100,-1.570,-0.48451,0.524,0.524,0.000,1.53,-0.14,0.52
