IMT,c1r,c1ss,c2,c3,c4,c5,c6r,c6ss,c7,sig0,cM,sigMax
PGA,-0.624,-0.624,1.0,0.000,-2.100,1.29649,0.25,0.25,0.000,1.39,-0.14,0.38
0.075,0.110,0.110,1.0,0.006,-2.128,1.29649,0.25,0.25,-0.082,1.40,-0.14,0.39
0.1,0.275,0.275,1.0,0.006,-2.148,1.29649,0.25,0.25,-0.041,1.41,-0.14,0.40
0.2,0.153,0.153,1.0,-0.004,-2.080,1.29649,0.25,0.25,0.000,1.43,-0.14,0.42
0.3,-0.057,-0.057,1.0,-0.017,-2.028,1.29649,0.25,0.25,0.000,1.45,-0.14,0.44
0.4,-0.298,-0.298,1.0,-0.028,-1.990,1.29649,0.25,0.25,0.000,1.48,-0.14,0.47
0.5,-0.588,-0.588,1.0,-0.040,-1.945,1.29649,0.25,0.25,0.000,1.50,-0.14,0.49
0.75,-1.208,-1.208,1.0,-0.050,-1.865,1.29649,0.25,0.25,0.000,1.52,-0.14,0.51
1.0,-1.705,-1.705,1.0,-0.055,-1.800,1.29649,0.25,0.25,0.000,1.53,-0.14,0.52
1.5,-2.407,-2.407,1.0,-0.065,-1.725,1.29649,0.25,0.25,0.000,1.53,-0.14,0.52
2.0,-2.945,-2.945,1.0,-0.070,-1.670,1.29649,0.25,0.25,0.000,1.53,-0.14,0.52
3.0,-3.700,-3.700,1.0,-0.080,-1.610,1.29649,0.25,0.25,0.000,1.53,-0.14,0.52
4.0,-4.230,-4.230,1.0,-0.100,-1.570,1.29649,0.25,0.25,0.000,1.53,-0.14,0.52
