T,c1h,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
PGA,1.14,1.559,0.623,-0.0483,-1.81,-0.652,0.446,-2.93E-05,-0.00405,0.00946,1.41,-0.961,0.000432,0.000133,1.21,-0.111,0.409
0.05,1.82,2.24,0.533,-0.0475,-1.63,-0.567,0.454,0.00777,-0.00491,-0.00314,0.98,-0.939,0.000512,0.00093,1.22,-0.108,0.441
0.1,0.869,1.4229,0.607,-0.0474,-1.52,-0.704,0.449,-0.00619,-0.0047,-0.00424,1.04,-0.913,0.000411,0.000358,1.23,-0.108,0.456
0.15,2.38,2.87,0.501,-0.0642,-1.73,-0.976,0.414,0.0066,-0.0048,0.00393,1.51,-0.865,0.000364,0.000684,1.24,-0.108,0.464
0.2,-0.548,0.017,0.857,-0.0262,-1.68,-0.861,0.433,0.00279,-0.00365,-0.00202,1.64,-0.925,0.000161,0.000643,1.24,-0.108,0.469
0.3,-0.513,0.0293,0.667,-0.0443,-1.42,-0.47,0.468,0.0108,-0.00541,0.00644,1.52,-0.915,0.000432,0.000287,1.26,-0.109,0.479
0.5,0.24,0.6974,0.611,-0.0789,-1.55,-0.844,0.43636,0.00789,-0.00365,-0.000265,1.59,-0.859,0.000277,0.000146,1.28,-0.1073,0.505
0.75,-0.679,-0.323,0.666,-0.083,-1.48,-0.734,0.435,0.00953,-0.00337,-0.00119,1.55,-0.784,0.000245,0.000547,1.28,-0.105,0.522
1,-1.55,-1.257,0.764,-0.0859,-1.49,-0.941,0.424,-0.00584,-0.00209,0.0033,1.52,-0.757,0.000117,0.000759,1.28,-0.103,0.537
1.5,-2.3,-2.1,0.794,-0.0884,-1.45,-0.886,0.412,0.0083,-0.00327,0.00251,1.71,-0.769,0.000233,0.000166,1.27,-0.0999,0.551
2,-2.7,-2.5177,0.805,-0.0929,-1.44,-0.923,0.408,0.0206,-0.00214,0.0023,1.43,-0.755,0.000214,0.000391,1.26,-0.0978,0.562
3,-2.42,-2.28,0.801,-0.108,-1.65,-0.898,0.437,0.0167,-0.00203,0.00358,1.93,-0.818,0.000116,0.000398,1.26,-0.0952,0.573
4,-3.69,-3.51,0.817,-0.118,-1.46,-0.845,0.425,0.0113,-0.00172,-0.00334,1.69,-0.737,0.00011,0.000359,1.25,-0.0926,0.589
