T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,   -9.94467,   2.03274, 5.4,  -2.58611, 0.13184, -0.16348
7.5,           0,         0,   0,         0,       0,        0
5.0,    -2.85757,   1.96038, 5.7,  -3.15687, 0.10616, -0.24948
4.0,           0,         0,   0,         0,       0,        0
3.0,     9.50447,   1.37435, 6.0,  -4.65042, 0.16201, -0.29654
2.0,    19.42515,   0.78887, 6.1,  -5.88408, 0.22405, -0.31785
1.5,    27.22984,   0.39421, 6.2,  -6.87085, 0.26668, -0.32407
1.0,    37.72668,  -0.41228, 6.2,  -8.24274, 0.36012, -0.31850
0.75,   44.39633,  -0.89301, 6.2,  -9.11520, 0.41483, -0.30422
0.5,    48.02106,  -1.37182, 6.1,  -9.61985, 0.47167, -0.27523
0.4,    53.04999,  -1.76242, 6.1, -10.31090, 0.51995, -0.25320
0.3,    59.63075,  -2.36002, 6.1, -11.25182, 0.60028, -0.22461
0.25,   58.88488,  -2.54016, 6.0, -11.20858, 0.62655, -0.20009
0.2,    63.04949,  -2.93622, 6.0, -11.82560, 0.68261, -0.18061
0.15,   69.46798,  -3.57603, 6.0, -12.79463, 0.77593, -0.15330
0.10,   71.67037,  -4.09398, 5.9, -13.25869, 0.86044, -0.12008
0.075,         0,         0,   0,         0,       0,        0
0.05,   63.57597,  -4.17060, 5.6, -12.39880, 0.90097, -0.09330
0.03,   54.89888,  -3.83474, 5.4, -11.25994, 0.86786, -0.09258
0.02,   49.10114,  -3.52464, 5.3, -10.44304, 0.82905, -0.10110
0.01,   49.50914,  -3.58029, 5.4, -10.45222, 0.83490, -0.11428
PGA,    49.01306,  -3.53963, 5.4, -10.36996, 0.82790, -0.11490
PGV,    35.32381,  -2.50490, 5.2,  -8.04105, 0.76843, -0.14424
