T,AmaxI,SrcI,AmaxII,SrcII,AmaxIII,SrcIII,AmaxIV,SrcIV
PGA,1.916,8.429,2.033,1.914,1.905,1.117,1.498,0.836
0.01,1.919,8.090,2.027,1.883,1.908,1.114,1.498,0.836
0.02,1.922,6.992,2.003,1.779,1.894,1.124,1.474,0.830
0.03,1.925,6.350,1.989,1.718,1.886,1.130,1.460,0.826
0.04,1.921,4.883,2.012,2.052,1.833,1.151,1.374,0.768
0.05,1.959,5.043,2.017,2.387,1.854,1.240,1.363,0.786
0.06,2.013,6.271,2.064,2.834,1.893,1.348,1.384,0.838
0.07,2.049,7.667,2.103,3.294,1.924,1.452,1.425,0.926
0.08,2.046,9.034,2.195,3.991,1.974,1.583,1.481,1.022
0.09,2.066,11.251,2.219,4.466,2.032,1.733,1.525,1.118
0.10,2.100,14.817,2.263,5.046,2.052,1.841,1.549,1.166
0.12,2.143,14.817,2.329,5.900,2.066,2.030,1.603,1.286
0.14,2.122,14.817,2.188,5.054,2.107,2.281,1.670,1.398
0.15,2.092,14.817,2.214,5.205,2.140,2.444,1.706,1.443
0.16,2.053,14.817,2.245,5.387,2.156,2.580,1.734,1.472
0.18,1.923,14.817,2.324,5.872,2.132,2.742,1.773,1.547
0.20,1.793,14.817,2.405,6.574,2.050,2.826,1.816,1.644
0.25,1.793,14.817,2.554,8.500,1.925,2.719,1.843,1.790
0.30,1.793,14.817,2.586,10.67,2.006,2.418,1.871,1.823
0.35,1.793,14.817,2.718,10.67,2.179,2.304,1.878,1.790
0.40,1.793,14.817,2.718,10.67,2.288,2.236,1.911,1.768
0.45,1.793,14.817,2.718,10.67,2.402,2.217,1.899,1.675
0.50,1.793,14.817,2.718,10.67,2.522,2.243,1.927,1.625
0.60,1.793,14.817,2.718,10.67,2.648,2.805,1.987,1.525
0.70,1.793,14.817,2.718,10.67,2.780,6.658,2.025,1.397
0.80,1.793,14.817,2.718,10.67,2.919,30.0,2.043,1.320
0.90,1.793,14.817,2.718,10.67,3.065,30.0,2.022,1.266
1.00,1.793,14.817,2.718,10.67,3.217,30.0,1.970,1.227
1.25,1.793,14.817,2.718,10.67,3.378,30.0,1.843,1.221
1.50,1.793,14.817,2.718,10.67,3.547,30.0,1.729,1.318
2.00,1.793,14.817,2.718,10.67,3.724,30.0,1.583,2.125
2.50,1.793,14.817,2.718,10.67,3.909,30.0,1.504,14.382
3.00,1.793,14.817,2.718,10.67,4.104,30.0,1.439,14.382
3.50,1.793,14.817,2.718,10.67,4.309,30.0,1.391,14.382
4.00,1.793,14.817,2.718,10.67,4.524,30.0,1.362,14.382
4.50,1.793,14.817,2.718,10.67,4.750,30.0,1.340,14.382
5.00,1.793,14.817,2.718,10.67,4.987,30.0,1.729,14.382
