T,a1,a2,a3,a4,a5,a6,a8,a10,a11,a12,a13,a14,a15,a17,a43,a44,a45,a46,b,c,c4,s1e,s2e,s3,s4,s1m,s2m,s5,s6,M1,Vlin
PGA,0.587,-0.79,0.275,-0.1,-0.41,2.154,-0.015,1.735,0,-0.1,0.6,-0.3,1.1,-0.0072,0.1,0.05,0,-0.05,-1.47,2.4,4.5,0.754,0.52,0.47,0.36,0.741,0.501,0.54,0.63,6.75,660
PGV,5.975,-0.919,0.275,-0.1,-0.41,2.366,-0.094,2.36,0,-0.1,0.25,0.22,0.3,-0.0005,0.28,0.15,0.09,0.07,-2.02,2400,4.5,0.662,0.51,0.38,0.38,0.66,0.51,0.58,0.53,6.75,330
0.01,0.587,-0.79,0.275,-0.1,-0.41,2.154,-0.015,1.735,0,-0.1,0.6,-0.3,1.1,-0.0072,0.1,0.05,0,-0.05,-1.47,2.4,4.5,0.754,0.52,0.47,0.36,0.741,0.501,0.54,0.63,6.75,660
0.02,0.598,-0.79,0.275,-0.1,-0.41,2.146,-0.015,1.718,0,-0.1,0.6,-0.3,1.1,-0.0073,0.1,0.05,0,-0.05,-1.46,2.4,4.5,0.76,0.52,0.47,0.36,0.747,0.501,0.54,0.63,6.75,680
0.03,0.602,-0.79,0.275,-0.1,-0.41,2.157,-0.015,1.615,0,-0.1,0.6,-0.3,1.1,-0.0075,0.1,0.05,0,-0.05,-1.39,2.4,4.5,0.781,0.52,0.47,0.36,0.769,0.501,0.55,0.63,6.75,770
0.05,0.746,-0.79,0.275,-0.1,-0.41,2.085,-0.015,1.358,0,-0.1,0.6,-0.3,1.1,-0.008,0.1,0.05,0,-0.05,-1.22,2.4,4.5,0.81,0.53,0.47,0.36,0.798,0.512,0.56,0.65,6.75,800
0.075,1.021,-0.79,0.275,-0.1,-0.41,2.029,-0.015,1.258,0,-0.1,0.6,-0.3,1.1,-0.0089,0.1,0.05,0,-0.05,-1.15,2.4,4.5,0.81,0.54,0.47,0.36,0.798,0.522,0.57,0.69,6.75,800
0.1,1.21,-0.79,0.275,-0.1,-0.41,2.041,-0.015,1.31,0,-0.1,0.6,-0.3,1.1,-0.0095,0.1,0.05,0,-0.05,-1.23,2.4,4.5,0.81,0.55,0.47,0.36,0.795,0.527,0.57,0.7,6.75,800
0.15,1.442,-0.79,0.275,-0.1,-0.41,2.121,-0.022,1.66,0,-0.1,0.6,-0.3,1.1,-0.0095,0.1,0.05,0,-0.05,-1.59,2.4,4.5,0.801,0.56,0.47,0.36,0.773,0.519,0.58,0.7,6.75,740
0.2,1.637,-0.79,0.275,-0.1,-0.41,2.224,-0.03,2.22,0,-0.1,0.6,-0.3,1.1,-0.0086,0.1,0.05,0,-0.03,-2.01,2.4,4.5,0.789,0.565,0.47,0.36,0.753,0.514,0.59,0.7,6.75,590
0.25,1.701,-0.79,0.275,-0.1,-0.41,2.312,-0.038,2.77,0,-0.1,0.6,-0.24,1.1,-0.0074,0.1,0.05,0,0,-2.41,2.4,4.5,0.77,0.57,0.47,0.36,0.729,0.513,0.61,0.7,6.75,495
0.3,1.712,-0.79,0.275,-0.1,-0.41,2.338,-0.045,3.25,0,-0.1,0.6,-0.19,1.03,-0.0064,0.1,0.05,0.03,0.03,-2.76,2.4,4.5,0.74,0.58,0.47,0.36,0.693,0.519,0.63,0.7,6.75,430
0.4,1.662,-0.79,0.275,-0.1,-0.41,2.469,-0.055,3.99,0,-0.1,0.58,-0.11,0.92,-0.0043,0.1,0.07,0.06,0.06,-3.28,2.4,4.5,0.699,0.59,0.47,0.36,0.644,0.524,0.66,0.7,6.75,360
0.5,1.571,-0.79,0.275,-0.1,-0.41,2.559,-0.065,4.45,0,-0.1,0.56,-0.04,0.84,-0.0032,0.1,0.1,0.1,0.09,-3.6,2.4,4.5,0.676,0.6,0.47,0.36,0.616,0.532,0.69,0.7,6.75,340
