T,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,k1,k2,k3,s_lny,t_lny,s_c,rho
PGD,-5.27,1.6,-0.07,0,-2,0.17,4,0,0,0,-0.82,0.3,1,400,0,2.744,0.667,0.485,0.29,0.174
PGV,0.954,0.696,-0.309,-0.019,-2.016,0.17,4,0.245,0,0.358,1.694,0.092,1,400,-1.955,1.929,0.484,0.203,0.19,0.691
PGA,-1.715,0.5,-0.53,-0.262,-2.118,0.17,5.6,0.28,-0.12,0.49,1.058,0.04,0.61,865,-1.186,1.839,0.478,0.219,0.166,1
0.01,-1.715,0.5,-0.53,-0.262,-2.118,0.17,5.6,0.28,-0.12,0.49,1.058,0.04,0.61,865,-1.186,1.839,0.478,0.219,0.166,1
0.02,-1.68,0.5,-0.53,-0.262,-2.123,0.17,5.6,0.28,-0.12,0.49,1.102,0.04,0.61,865,-1.219,1.84,0.48,0.219,0.166,0.999
0.03,-1.552,0.5,-0.53,-0.262,-2.145,0.17,5.6,0.28,-0.12,0.49,1.174,0.04,0.61,908,-1.273,1.841,0.489,0.235,0.165,0.989
0.05,-1.209,0.5,-0.53,-0.267,-2.199,0.17,5.74,0.28,-0.12,0.49,1.272,0.04,0.61,1054,-1.346,1.843,0.51,0.258,0.162,0.963
0.075,-0.657,0.5,-0.53,-0.302,-2.277,0.17,7.09,0.28,-0.12,0.49,1.438,0.04,0.61,1086,-1.471,1.845,0.52,0.292,0.158,0.922
0.1,-0.314,0.5,-0.53,-0.324,-2.318,0.17,8.05,0.28,-0.099,0.49,1.604,0.04,0.61,1032,-1.624,1.847,0.531,0.286,0.17,0.898
0.15,-0.133,0.5,-0.53,-0.339,-2.309,0.17,8.79,0.28,-0.048,0.49,1.928,0.04,0.61,878,-1.931,1.852,0.532,0.28,0.18,0.89
0.2,-0.486,0.5,-0.446,-0.398,-2.22,0.17,7.6,0.28,-0.012,0.49,2.194,0.04,0.61,748,-2.188,1.856,0.534,0.249,0.186,0.871
0.25,-0.89,0.5,-0.362,-0.458,-2.146,0.17,6.58,0.28,0,0.49,2.351,0.04,0.7,654,-2.381,1.861,0.534,0.24,0.191,0.852
0.3,-1.171,0.5,-0.294,-0.511,-2.095,0.17,6.04,0.28,0,0.49,2.46,0.04,0.75,587,-2.518,1.865,0.544,0.215,0.198,0.831
0.4,-1.466,0.5,-0.186,-0.592,-2.066,0.17,5.3,0.28,0,0.49,2.587,0.04,0.85,503,-2.657,1.874,0.541,0.217,0.206,0.785
0.5,-2.569,0.656,-0.304,-0.536,-2.041,0.17,4.73,0.28,0,0.49,2.544,0.04,0.883,457,-2.669,1.883,0.55,0.214,0.208,0.735
0.75,-4.844,0.972,-0.578,-0.406,-2,0.17,4,0.28,0,0.49,2.133,0.077,1,410,-2.401,1.906,0.568,0.227,0.221,0.628
1,-6.406,1.196,-0.772,-0.314,-2,0.17,4,0.255,0,0.49,1.571,0.15,1,400,-1.955,1.929,0.568,0.255,0.225,0.534
1.5,-8.692,1.513,-1.046,-0.185,-2,0.17,4,0.161,0,0.49,0.406,0.253,1,400,-1.025,1.974,0.564,0.296,0.222,0.411
2,-9.701,1.6,-0.978,-0.236,-2,0.17,4,0.094,0,0.371,-0.456,0.3,1,400,-0.299,2.019,0.571,0.296,0.226,0.331
3,-10.556,1.6,-0.638,-0.491,-2,0.17,4,0,0,0.154,-0.82,0.3,1,400,0,2.11,0.558,0.326,0.229,0.289
4,-11.212,1.6,-0.316,-0.77,-2,0.17,4,0,0,0,-0.82,0.3,1,400,0,2.2,0.576,0.297,0.237,0.261
5,-11.684,1.6,-0.07,-0.986,-2,0.17,4,0,0,0,-0.82,0.3,1,400,0,2.291,0.601,0.359,0.237,0.2
7.5,-12.505,1.6,-0.07,-0.656,-2,0.17,4,0,0,0,-0.82,0.3,1,400,0,2.517,0.628,0.428,0.271,0.174
10,-13.087,1.6,-0.07,-0.422,-2,0.17,4,0,0,0,-0.82,0.3,1,400,0,2.744,0.667,0.485,0.29,0.174
