T,c2,c4,c4a,cRB,c8,c8a,c1,c1a,c1b,c1c,c1d,cn,cM,c3,c5,cHM,c6,c7,c7b,c8b,c9,c9a,c9b,c11,c11b,cgamma1,cgamma2,cgamma3,phi1,phi2,phi3,phi4,phi5,phi6,tau1,tau2,sigma1,sigma2,sigma3,sigma2_JP,gamma_JP_IT,gamma_WN,phi1_JP,phi5_JP,phi6_JP
0.01,1.06,-2.1,-0.5,50,0.2154,0.2695,-1.5065,0.1650,-0.2550,-0.1650,0.2550,16.0875,4.9993,1.9636,6.4551,3.0956,0.4908,0.0352,0.0462,0.4833,0.9228,0.1202,6.8607,0.0000,-0.4536,-0.007146,-0.006758,4.2542,-0.5210,-0.1417,-0.007010,0.102151,0.0000,300,0.4000,0.2600,0.4912,0.3762,0.8000,0.4528,1.5817,0.7594,-0.6846,0.4590,800
0.02,1.06,-2.1,-0.5,50,0.2154,0.2695,-1.4798,0.1650,-0.2550,-0.1650,0.2550,15.7118,4.9993,1.9636,6.4551,3.0963,0.4925,0.0352,0.0472,1.2144,0.9296,0.1217,6.8697,0.0000,-0.4536,-0.007249,-0.006758,4.2386,-0.5055,-0.1364,-0.007279,0.108360,0.0000,300,0.4026,0.2637,0.4904,0.3762,0.8000,0.4551,1.5740,0.7606,-0.6681,0.4580,800
0.03,1.06,-2.1,-0.5,50,0.2154,0.2695,-1.2972,0.1650,-0.2550,-0.1650,0.2550,15.8819,4.9993,1.9636,6.4551,3.0974,0.4992,0.0352,0.0533,1.6421,0.9396,0.1194,6.9113,0.0000,-0.4536,-0.007869,-0.006758,4.2519,-0.4368,-0.1403,-0.007354,0.119888,0.0000,300,0.4063,0.2689,0.4988,0.3849,0.8000,0.4571,1.5544,0.7642,-0.6314,0.4620,800
0.04,1.06,-2.1,-0.5,50,0.2154,0.2695,-1.1007,0.1650,-0.2550,-0.1650,0.2550,16.4556,4.9993,1.9636,6.4551,3.0988,0.5037,0.0352,0.0596,1.9456,0.9661,0.1166,7.0271,0.0000,-0.4536,-0.008316,-0.006758,4.2960,-0.3752,-0.1591,-0.006977,0.133641,0.0000,300,0.4095,0.2736,0.5049,0.3910,0.8000,0.4642,1.5502,0.7676,-0.5855,0.4530,800
0.05,1.06,-2.1,-0.5,50,0.2154,0.2695,-0.9292,0.1650,-0.2550,-0.1650,0.2550,17.6453,4.9993,1.9636,6.4551,3.1011,0.5048,0.0352,0.0639,2.1810,0.9794,0.1176,7.0959,0.0000,-0.4536,-0.008743,-0.006758,4.3578,-0.3469,-0.1862,-0.006467,0.148927,0.0000,300,0.4124,0.2777,0.5096,0.3957,0.8000,0.4716,1.5391,0.7739,-0.5457,0.4360,800
0.075,1.06,-2.1,-0.5,50,0.2154,0.2695,-0.6580,0.1650,-0.2540,-0.1650,0.2540,20.1772,5.0031,1.9636,6.4551,3.1094,0.5048,0.0352,0.0630,2.6087,1.0260,0.1171,7.3298,0.0000,-0.4536,-0.009537,-0.006190,4.5455,-0.3747,-0.2538,-0.005734,0.190596,0.0000,300,0.4179,0.2855,0.5179,0.4043,0.8000,0.5022,1.4804,0.7956,-0.4685,0.3830,800
0.1,1.06,-2.1,-0.5,50,0.2154,0.2695,-0.5613,0.1650,-0.2530,-0.1650,0.2530,19.9992,5.0172,1.9636,6.8305,3.2381,0.5048,0.0352,0.0532,2.9122,1.0177,0.1146,7.2588,0.0000,-0.4536,-0.009830,-0.005332,4.7603,-0.4440,-0.2943,-0.005604,0.230662,0.0000,300,0.4219,0.2913,0.5236,0.4104,0.8000,0.523,1.4094,0.7932,-0.4985,0.3750,800
0.12,1.06,-2.1,-0.5,50,0.2154,0.2695,-0.5342,0.1650,-0.2520,-0.1650,0.2520,18.7106,5.0315,1.9795,7.1333,3.3407,0.5048,0.0352,0.0452,3.1045,1.0008,0.1128,7.2372,0.0000,-0.4536,-0.009913,-0.004732,4.8963,-0.4895,-0.3077,-0.005696,0.253169,0.0000,300,0.4244,0.2949,0.5270,0.4143,0.8000,0.5278,1.3682,0.7768,-0.5603,0.3770,800
0.15,1.06,-2.1,-0.5,50,0.2154,0.2695,-0.5462,0.1650,-0.2500,-0.1650,0.2500,16.6246,5.0547,2.0362,7.3621,3.4300,0.5045,0.0352,0.0345,3.3399,0.9801,0.1106,7.2109,0.0000,-0.4536,-0.009896,-0.003806,5.0644,-0.5477,-0.3113,-0.005845,0.266468,0.0000,300,0.4275,0.2993,0.5308,0.4191,0.8000,0.5304,1.3241,0.7437,-0.6451,0.3790,800
0.17,1.06,-2.1,-0.5,50,0.2154,0.2695,-0.5858,0.1650,-0.2480,-0.1650,0.2480,15.3709,5.0704,2.0823,7.4365,3.4688,0.5036,0.0352,0.0283,3.4719,0.9652,0.1150,7.2491,0.0000,-0.4536,-0.009787,-0.003280,5.1371,-0.5922,-0.3062,-0.005959,0.265060,0.0000,300,0.4292,0.3017,0.5328,0.4217,0.8000,0.531,1.3071,0.7219,-0.6981,0.3800,800
