T,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,n,r2
PGA,-4.033,0.812,0.036,-1.061,0.041,-0.005,-0.018,0.766,0.034,0.343,0.351,-0.123,-0.138,-0.289,0.37,0.92,0.219,443,0.949
0.05,-3.74,0.812,0.036,-1.121,0.058,-0.004,-0.028,0.724,0.032,0.302,0.362,-0.14,-0.158,-0.205,0.37,0.94,0.239,435,0.94
0.075,-3.076,0.812,0.05,-1.252,0.121,-0.005,-0.051,0.648,0.04,0.243,0.333,-0.15,-0.196,-0.208,0.37,0.952,0.251,439,0.923
0.1,-2.661,0.812,0.06,-1.308,0.166,-0.009,-0.068,0.621,0.046,0.224,0.313,-0.146,-0.253,-0.258,0.37,0.958,0.257,439,0.901
0.15,-2.27,0.812,0.041,-1.324,0.212,-0.033,-0.081,0.613,0.031,0.318,0.344,-0.176,-0.267,-0.284,0.37,0.974,0.273,439,0.862
0.2,-2.771,0.812,0.03,-1.153,0.098,-0.014,-0.038,0.704,0.026,0.296,0.342,-0.148,-0.183,-0.359,0.37,0.981,0.28,439,0.844
0.3,-2.999,0.812,0.007,-1.08,0.059,-0.007,-0.022,0.752,0.007,0.359,0.385,-0.162,-0.157,-0.585,0.37,0.984,0.283,439,0.859
0.4,-3.511,0.812,-0.015,-0.964,0.024,-0.002,-0.005,0.842,-0.016,0.379,0.438,-0.078,-0.129,-0.557,0.37,0.987,0.286,439,0.871
0.5,-3.556,0.812,-0.035,-0.964,0.023,-0.002,-0.004,0.842,-0.036,0.406,0.479,-0.122,-0.13,-0.701,0.37,0.99,0.289,439,0.89
0.75,-3.709,0.812,-0.071,-0.964,0.021,-0.002,-0.002,0.842,-0.074,0.347,0.419,-0.108,-0.124,-0.796,0.331,1.021,0.32,438,0.917
1,-3.867,0.812,-0.101,-0.964,0.019,0,0,0.842,-0.105,0.329,0.338,-0.073,-0.072,-0.858,0.281,1.021,0.32,438,0.935
1.5,-4.093,0.812,-0.15,-0.964,0.019,0,0,0.842,-0.155,0.217,0.188,-0.079,-0.056,-0.954,0.21,1.021,0.32,428,0.96
2,-4.311,0.812,-0.18,-0.964,0.019,0,0,0.842,-0.187,0.06,0.064,-0.124,-0.116,-0.916,0.16,1.021,0.32,405,0.971
