T,c1,c1a,c1b,c5,c6,c7,c7a,c9,c9a,c10,cg1,cg2,cn,cm,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,tau1,tau2,sig1,sig2,sig3,sig4
0.01,-1.2687,0.1,-0.255,6.16,0.4893,0.0512,0.086,0.79,1.5005,-0.3218,-0.00804,-0.00785,2.996,4.184,-0.4417,-0.1417,-0.00701,0.10215,0.2289,0.014996,580,0.07,0.3437,0.2637,0.4458,0.3459,0.8,0.0663
0.02,-1.2515,0.1,-0.255,6.158,0.4892,0.0512,0.086,0.8129,1.5028,-0.3323,-0.00811,-0.00792,3.292,4.1879,-0.434,-0.1364,-0.007279,0.10836,0.2289,0.014996,580,0.0699,0.3471,0.2671,0.4458,0.3459,0.8,0.0663
0.03,-1.1744,0.1,-0.255,6.155,0.489,0.0511,0.086,0.8439,1.5071,-0.3394,-0.00839,-0.00819,3.514,4.1556,-0.4177,-0.1403,-0.007354,0.11989,0.2289,0.014996,580,0.0701,0.3603,0.2803,0.4535,0.3537,0.8,0.0663
0.04,-1.0671,0.1,-0.255,6.1508,0.4888,0.0508,0.086,0.874,1.5138,-0.3453,-0.00875,-0.00855,3.563,4.1226,-0.4,-0.1591,-0.006977,0.13364,0.2289,0.014996,579.9,0.0702,0.3718,0.2918,0.4589,0.3592,0.8,0.0663
0.05,-0.9464,0.1,-0.255,6.1441,0.4884,0.0504,0.086,0.8996,1.523,-0.3502,-0.00912,-0.00891,3.547,4.1011,-0.3903,-0.1862,-0.006467,0.14893,0.229,0.014996,579.9,0.0701,0.3848,0.3048,0.463,0.3635,0.8,0.0663
0.075,-0.7051,0.1,-0.254,6.12,0.4872,0.0495,0.086,0.9442,1.5597,-0.3579,-0.00973,-0.0095,3.448,4.086,-0.404,-0.2538,-0.005734,0.1906,0.2292,0.014996,579.6,0.0686,0.3878,0.3129,0.4702,0.3713,0.8,0.0663
0.1,-0.5747,0.1,-0.253,6.085,0.4854,0.0489,0.086,0.9677,1.6104,-0.3604,-0.00975,-0.00952,3.312,4.103,-0.4423,-0.2943,-0.005604,0.23066,0.2297,0.014996,579.2,0.0646,0.3835,0.3152,0.4747,0.3769,0.8,0.0663
0.15,-0.5309,0.1,-0.25,5.9871,0.4808,0.0479,0.086,0.966,1.7549,-0.3565,-0.00883,-0.00862,3.044,4.1717,-0.5162,-0.3113,-0.005845,0.26647,0.2326,0.014988,577.2,0.0494,0.3719,0.3128,0.4798,0.3847,0.8,0.0612
0.2,-0.6352,0.1,-0.2449,5.8699,0.4755,0.0471,0.086,0.9334,1.9157,-0.347,-0.00778,-0.00759,2.831,4.2476,-0.5697,-0.2927,-0.006141,0.25525,0.2386,0.014964,573.9,-0.0019,0.3601,0.3076,0.4816,0.3902,0.8,0.053
0.25,-0.7766,0.1,-0.2382,5.7547,0.4706,0.0464,0.086,0.8946,2.0709,-0.3379,-0.00688,-0.00671,2.658,4.3184,-0.6109,-0.2662,-0.006439,0.23154,0.2497,0.014881,568.5,-0.0479,0.3522,0.3047,0.4815,0.3946,0.7999,0.0457
