T,c1,c2,ccr,dcr,FcrN,FumRV,FumNS,bcr,gcr,gum,gcrN,gcrL,ecr,eum,evcr,gamma,sigma,tau,sigmaT,AmSCI,S2,S3,S4,FsrCrI,FsrCrII,FsrCrIII,FsrCrIV,FsrUmI,FsrUmII,FsrUmIII,FsrUmIV
PGA,−3.224,0.900,1.0731,0.200,0.3128,−0.2024,0.2519,0.00907,−1.2603,−1.0999,−0.4992,1.2656,−0.00794,−0.01083,−0.00628,−9.0872,0.556,0.391,0.680,1.381,0.2888,0.1221,0.2081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,−3.357,0.909,1.0785,0.200,0.3157,−0.2143,0.2585,0.00907,−1.2695,−1.1072,−0.4868,1.2415,−0.00772,−0.01058,−0.00629,−9.0521,0.556,0.390,0.679,1.228,0.2999,0.1032,0.2193,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0
0.02,−3.552,0.927,1.0725,0.200,0.3185,−0.2213,0.2607,0.00907,−1.2878,−1.1177,−0.4465,1.1989,−0.00756,−0.01051,−0.00634,−8.8578,0.555,0.396,0.682,1.087,0.2978,0.1111,0.2171,1.0,1.3,1.0,0.949,1.0,1.0,1.0,1.150
0.03,−3.640,0.937,1.0574,0.200,0.3202,−0.2231,0.2603,0.00907,−1.2962,−1.1139,−0.4218,1.1865,−0.00788,−0.01101,−0.00647,−8.6279,0.553,0.408,0.687,1.042,0.2254,0.0897,0.1595,1.0,1.253,1.0,0.550,1.0,1.0,1.0,0.800
0.04,−3.758,0.944,1.0357,0.200,0.3214,−0.2233,0.2589,0.00907,−1.2515,−1.0797,−0.3762,1.1421,−0.00863,−0.01149,−0.00681,−8.3982,0.558,0.438,0.710,1.035,0.1587,0.0404,0.0703,1.0,1.064,1.0,0.477,1.0,1.0,1.0,0.613
0.05,−3.826,0.948,1.0058,0.200,0.3219,−0.2230,0.2576,0.00907,−1.1472,−0.9861,−0.4358,1.1414,−0.00988,−0.01229,−0.00710,−8.1531,0.564,0.460,0.728,1.047,0.0826,−0.0593,−0.0353,1.0,1.120,1.0,0.492,1.0,1.0,1.0,0.542
0.06,−3.890,0.956,0.9841,0.200,0.3247,−0.2223,0.2561,0.00907,−1.0913,−0.9390,−0.4679,1.1575,−0.01075,−0.01274,−0.00724,−8.0033,0.577,0.481,0.751,1.071,0.0554,−0.1096,−0.0902,1.0,1.207,1.0,0.531,1.0,1.0,1.0,0.534
0.07,−3.965,0.967,0.9806,0.200,0.3286,−0.2215,0.2546,0.00907,−1.0468,−0.9004,−0.5026,1.1868,−0.01130,−0.01308,−0.00734,−8.0478,0.599,0.488,0.772,1.103,0.0418,−0.1326,−0.0958,1.0,1.238,1.0,0.613,1.0,1.0,1.0,0.583
0.08,−4.055,0.980,0.9863,0.200,0.3398,−0.2205,0.2530,0.00907,−1.0136,−0.8706,−0.5380,1.2234,−0.01164,−0.01331,−0.00741,−8.1969,0.616,0.481,0.782,1.141,0.0604,−0.1354,−0.0732,1.0,1.360,1.0,0.693,1.0,1.0,0.830,0.643
0.09,−4.153,0.995,0.9912,0.200,0.3304,−0.2196,0.2556,0.00907,−0.9923,−0.8508,−0.5730,1.2640,−0.01182,−0.01345,−0.00746,−8.3508,0.629,0.477,0.789,1.184,0.0930,−0.1251,−0.0363,1.0,1.355,1.0,0.780,1.0,1.0,0.706,0.674
