T,c1,cSL1,cSL2,d,b,g,gL,eV,e,eH,gamma,sigma,tau,sigmaT,AmSCI,S2,S3,S4,FsrI,FsrII,FsrIII,FsrIV
PGA ,−5.30119,1.44758,0.37625,0.42646,0.01826,−1.98471,1.12071,−0.01499,−0.00340,−0.00050,−9.880,0.587,0.457,0.744,1.381,0.2320,0.1437,0.1470,1.0,1.0,1.0,1.0
0.01,−5.28844,1.45400,0.38099,0.42075,0.01826,−1.96360,1.03278,−0.01503,−0.00331,−0.00050,−9.513,0.587,0.458,0.745,1.228,0.2289,0.1398,0.1328,1.0,1.0,1.0,1.0
0.02,−5.27568,1.46625,0.39101,0.40055,0.01826,−1.91839,0.94715,−0.01517,−0.00345,−0.00050,−9.266,0.587,0.465,0.749,1.087,0.2183,0.1260,0.1443,1.0,1.0,1.0,1.05
0.03,−5.26822,1.49246,0.41976,0.36433,0.01826,−1.89271,0.93420,−0.01567,−0.00391,−0.00050,−9.332,0.588,0.480,0.759,1.042,0.1874,0.0616,0.0660,1.0,1.0,1.0,0.58
0.04,−5.26293,1.50129,0.45746,0.32072,0.01826,−1.87260,0.97168,−0.01616,−0.00454,−0.00050,−9.508,0.599,0.521,0.794,1.035,0.1233,−0.0171,−0.0171,1.0,1.006,1.0,0.482
0.05,−5.25882,1.51051,0.48601,0.30000,0.01826,−1.85351,1.01492,−0.01676,−0.00510,−0.00050,−9.729,0.607,0.555,0.823,1.047,0.0721,−0.0633,−0.0731,1.0,0.851,1.0,0.472
0.06,−5.25547,1.51380,0.50311,0.31147,0.01826,−1.83395,1.06854,−0.01722,−0.00552,−0.00050,−9.966,0.623,0.584,0.854,1.071,0.0270,−0.1010,−0.1196,1.0,0.803,1.044,0.506
0.07,−5.25263,1.51111,0.50704,0.32673,0.01826,−1.81345,1.13401,−0.01752,−0.00588,−0.00049,−10.226,0.638,0.600,0.876,1.103,−0.0062,−0.1468,−0.1601,1.0,0.918,0.975,0.587
0.08,−5.25017,1.50406,0.50004,0.34289,0.01826,−1.79189,1.20364,−0.01768,−0.00615,−0.00048,−10.551,0.651,0.598,0.884,1.141,0.0157,−0.1448,−0.1243,1.0,1.062,0.964,0.683
0.09,−5.24801,1.49423,0.48071,0.35921,0.01826,−1.76931,1.25808,−0.01772,−0.00635,−0.00048,−10.807,0.662,0.585,0.883,1.184,0.0509,−0.1267,−0.0729,1.0,1.106,0.980,0.782
0.10,−5.24607,1.48300,0.45759,0.37000,0.01826,−1.74581,1.30112,−0.01768,−0.00652,−0.00048,−11.022,0.674,0.567,0.881,1.231,0.0956,−0.0932,−0.0146,1.0,1.071,0.970,0.823
0.12,−5.24271,1.45559,0.41355,0.40606,0.01826,−1.73746,1.39137,−0.01742,−0.00660,−0.00049,−11.365,0.689,0.534,0.872,1.334,0.2004,−0.0088,0.0825,0.0,0.952,1.022,1.029
0.14,−5.23988,1.44277,0.37828,0.43450,0.01826,−1.74463,1.47084,−0.01700,−0.00652,−0.00051,−11.730,0.692,0.504,0.856,1.448,0.3037,0.0893,0.1715,0.0,0.672,0.889,0.991
0.15,−5.23861,1.43314,0.36308,0.45000,0.01826,−1.74972,1.50784,−0.01676,−0.00647,−0.00052,−11.880,0.696,0.486,0.849,1.510,0.3428,0.1360,0.2093,0.0,0.631,0.861,0.983
0.16,−5.23742,1.43253,0.34919,0.46055,0.01826,−1.76259,1.54326,−0.01649,−0.00636,−0.00053,−12.056,0.697,0.465,0.838,1.573,0.3740,0.1775,0.2412,0.0,0.600,0.831,0.973
0.18,−5.23525,1.43710,0.32464,0.48439,0.01826,−1.78989,1.60985,−0.01594,−0.00614,−0.00056,−12.420,0.704,0.430,0.825,1.707,0.4270,0.2531,0.2990,0.0,0.571,0.748,0.979
0.20,−5.23331,1.44781,0.30358,0.50900,0.01826,−1.82110,1.67146,−0.01537,−0.00590,−0.00059,−12.785,0.713,0.406,0.821,1.833,0.4630,0.3201,0.3459,0.0,0.565,0.650,1.006
0.25,−5.22921,1.48260,0.26174,0.55500,0.01826,−1.90412,1.80738,−0.01395,−0.00526,−0.00067,−13.635,0.711,0.385,0.808,1.954,0.5086,0.4530,0.4423,0.0,0.601,0.479,1.027
0.30,−5.22585,1.51881,0.23036,0.59300,0.01826,−1.98439,1.92242,−0.01261,−0.00468,−0.00075,−14.381,0.684,0.365,0.775,2.034,0.5078,0.5488,0.5178,0.0,0.579,0.449,1.021
0.35,−5.22302,1.55291,0.20580,0.62500,0.01826,−2.05756,2.02102,−0.01139,−0.00415,−0.00083,−15.035,0.665,0.371,0.762,2.052,0.4971,0.6171,0.5760,0.0,0.679,0.482,1.003
0.40,−5.22056,1.58443,0.18597,0.65200,0.01826,−2.12282,2.10642,−0.01029,−0.00369,−0.00091,−15.616,0.657,0.383,0.761,2.025,0.4807,0.6663,0.6224,0.0,0.655,0.499,1.010
0.45,−5.21839,1.61360,0.16960,0.67500,0.01826,−2.18047,2.18097,−0.00931,−0.00327,−0.00099,−16.138,0.647,0.391,0.756,1.999,0.4616,0.7011,0.6598,0.0,0.615,0.515,0.985
0.50,−5.21645,1.64075,0.15585,0.69500,0.01826,−2.23118,2.24651,−0.00843,−0.00290,−0.00107,−16.613,0.640,0.403,0.756,1.975,0.4422,0.7256,0.6907,0.0,0.550,0.530,0.990
0.60,−5.21310,1.69020,0.13405,0.72900,0.01826,−2.31475,2.35602,−0.00694,−0.00227,−0.00124,−17.453,0.633,0.412,0.755,1.931,0.4054,0.7529,0.7380,0.0,0.0,0.530,1.006
0.70,−5.21026,1.73450,0.11757,0.75600,0.01826,−2.37885,2.44331,−0.00574,−0.00178,−0.00139,−18.181,0.632,0.432,0.766,1.891,0.3734,0.7625,0.7723,0.0,0.0,0.499,1.000
0.80,−5.20781,1.77474,0.10476,0.77800,0.01826,−2.42769,2.51391,−0.00477,−0.00139,−0.00154,−18.825,0.635,0.438,0.772,1.855,0.3462,0.7612,0.7974,0.0,0.0,0.369,1.000
0.90,−5.20564,1.81162,0.09458,0.79600,0.01826,−2.46450,2.57166,−0.00398,−0.00109,−0.00166,−19.403,0.636,0.438,0.772,1.822,0.3236,0.7538,0.8162,0.0,0.0,0.3,0.960
1.00,−5.20370,1.84561,0.08636,0.81200,0.01826,−2.49170,2.61931,−0.00333,−0.00086,−0.00178,−19.928,0.636,0.439,0.773,1.791,0.3048,0.7428,0.8301,0.0,0.0,0.2,0.904
1.25,−5.19959,1.92015,0.07173,0.84100,0.01808,−2.52758,2.70638,−0.00215,−0.00052,−0.00199,−21.058,0.635,0.444,0.775,1.724,0.2703,0.7083,0.8504,0.0,0.0,0.0,0.738
