T,a,b,tau1,tau2,tau3,tau4
0.01,0.7131,0.5770,0.4436,0.4169,0.3736,0.3415
0.02,0.7126,0.5777,0.4436,0.4169,0.3736,0.3415
0.03,0.7171,0.5844,0.4436,0.4169,0.3736,0.3415
0.04,0.7274,0.5982,0.4436,0.4169,0.3736,0.3415
0.05,0.7526,0.6295,0.4436,0.4169,0.3736,0.3415
0.075,0.7899,0.6761,0.4436,0.4169,0.3736,0.3415
0.1,0.7974,0.6872,0.4436,0.4169,0.3736,0.3415
0.15,0.7773,0.6706,0.4436,0.4169,0.3736,0.3415
0.2,0.7481,0.6478,0.4436,0.4169,0.3736,0.3415
0.25,0.7220,0.6286,0.4436,0.4169,0.3736,0.3415
0.3,0.7005,0.6152,0.4436,0.4169,0.3736,0.3415
0.4,0.6680,0.5998,0.4436,0.4169,0.3736,0.3415
0.5,0.6446,0.5893,0.4436,0.4169,0.3736,0.3415
0.75,0.6055,0.5728,0.4436,0.4169,0.3736,0.3415
1,0.5797,0.5593,0.4436,0.4169,0.3736,0.3415
1.5,0.5457,0.5388,0.4436,0.4169,0.3736,0.3415
2,0.5239,0.5240,0.4436,0.4169,0.3736,0.3415
3,0.4986,0.4986,0.4436,0.4169,0.3736,0.3415
4,0.4857,0.4857,0.4436,0.4169,0.3736,0.3415
5,0.4789,0.4789,0.4436,0.4169,0.3736,0.3415
7.5,0.4721,0.4720,0.4436,0.4169,0.3736,0.3415
10,0.4700,0.4700,0.4436,0.4169,0.3736,0.3415
PGA,0.7131,0.5770,0.4436,0.4169,0.3736,0.3415
PGV,0.6626,0.5619,0.3633,0.3532,0.3340,0.3136
